Content,Label
mbaksri < I-LOC/>sumbar < I-LOC/>sumbar dibiarkan pelanggaran ham berat penistaan nilai kemanusiaan < I-LOC/>indonesia bukan negara < I-PER/>agama alasan apapun main hakim sndiri aplgi mlecehkan scara seksual murni tindak pidana wajib proses hukum,4
bukti fandom kamu nyebarin rame udah fandom kamu jijik bodoh say goodbye to fav mu mo military stream flop musicnya,1
lung lawan palsu kadal gurun,2
peraya haknya terpenuhi lakukan demo terselubung,3
< I-LOC/>indonesia mah demokrasi akal akalan aslinya komunis alias pemerintahan kritik anak bangsa kasih saran kemajuan giliran anak bangsa coba saran dll eh anggap penghinaan cakeuuupppp,4
asli rakyat buta sekali anjing proyek sadar dikata sudah jatuh lubang,1
polisi moral moral main hakim masuk ranah pidana penganiayaan pelecehan mohon,4
rajanya bohong wan got junjungan kadal gurun,2
aspirasi pastiikut demo,3
wanita gila sama wanita bodoh beda tipis,1
